sequence,persona,session_id,pr_number,pr_status,base_commit
001,absolutist,12901708137351264514,2538,closed,
002,artisan,6277226227732204550,2541,merged,
003,bolt,18025386321818118063,2552,merged,9c01047b
004,builder,5948202684293208811,2557,closed,1482d3f6
005,curator,17856005592249124361,2568,merged,
006,docs_curator,17480626581298577417,2574,merged,
007,essentialist,6691543726861605421,2579,merged,
008,forge,17824147013337820495,2581,closed,
009,janitor,13968893973858526285,,closed,
010,maintainer,29803756968602368,2583,closed,
011,organizer,5216217689898343676,2518,merged,
012,palette,9158893631700526001,2584,closed,
013,pruner,16328922328961625587,2586,closed,
014,refactor,10751032643834679886,2587,closed,
015,sapper,10989258952390011732,2588,closed,
016,scribe,1019510294666741592,2589,closed,
017,sentinel,3091723535632692023,2590,closed,
018,shepherd,2670342337293959056,2591,closed,
019,sheriff,17825274764829581100,2592,closed,
020,simplifier,15318338104703094261,,closed,
021,specifier,,,closed,
022,steward,2538030993967519372,2593,closed,
023,streamliner,1241748288279182386,,closed,
024,taskmaster,2737102702727540421,,closed,
025,typeguard,18092242257388545136,2594,open,
026,visionary,7886402048312556493,2595,closed,
027,weaver,,,closed,
028,absolutist,11396297569849726742,2596,closed,
029,artisan,14672835075614450736,2597,closed,
030,bolt,3535027380102478303,2598,closed,
031,builder,8506638410484314471,2599,closed,
032,curator,6231079390084514924,2577,merged,
033,docs_curator,6040162543645975641,2577,merged,
034,essentialist,10664472810236572857,2579,merged,
035,forge,5336925146669024498,2601,merged,
036,janitor,13968893973858526285,,closed,
037,maintainer,2584233121198723384,2583,merged,
038,organizer,1351186797177046743,2587,merged,
039,palette,8474177024497828784,2584,merged,
040,pruner,2291449969436598904,2605,merged,
041,refactor,9862966624390692597,2604,merged,
042,sapper,17284888906450096821,2588,merged,
043,scribe,5645417327334684227,2589,merged,
044,sentinel,9948140983043992197,2590,merged,
045,shepherd,11158788055737475763,2611,merged,
046,sheriff,6829468273887596457,2592,merged,
047,simplifier,,,,
048,specifier,,,,
049,steward,,,,
050,streamliner,,,,
051,taskmaster,,,,
052,typeguard,,,,
053,visionary,,,,
054,weaver,,,,
055,absolutist,,,,
056,artisan,,,,
057,bolt,,,,
058,builder,,,,
059,curator,,,,
060,docs_curator,,,,
061,essentialist,,,,
062,forge,,,,
063,janitor,,,,
064,maintainer,,,,
065,organizer,,,,
066,palette,,,,
067,pruner,,,,
068,refactor,,,,
069,sapper,,,,
070,scribe,,,,
071,sentinel,,,,
072,shepherd,,,,
073,sheriff,,,,
074,simplifier,,,,
075,specifier,,,,
076,steward,,,,
077,streamliner,,,,
078,taskmaster,,,,
079,typeguard,,,,
080,visionary,,,,
081,weaver,,,,
082,absolutist,,,,
083,artisan,,,,
084,bolt,,,,
085,builder,,,,
086,curator,,,,
087,docs_curator,,,,
088,essentialist,,,,
089,forge,,,,
090,janitor,,,,
091,maintainer,,,,
092,organizer,,,,
093,palette,,,,
094,pruner,,,,
095,refactor,,,,
096,sapper,,,,
097,scribe,,,,
098,sentinel,,,,
099,shepherd,,,,
100,sheriff,,,,
